Country,Price_2017,Global_Rank
South Korea,227.69,1
Liberia,213.25,2
Montserrat,209.46,3
Bahamas,204.57,4
C.A. Republic,197.98,5
Bermuda,192.98,6
Israel,192.16,7
Ant.& Barb.,188.47,8
Hong Kong,187.16,9
Angola,186.75,10
Saint Lucia,176.4,11
Japan,173.59,12
Norway,173.17,13
Jamaica,172.92,14
Comoros,171.94,15
Grenada,170.66,16
Iceland,167.47,17
Djibouti,165.63,18
Uruguay,162.19,19
New Zealand,161.52,20
Tr.&Tobago,158.98,21
Ghana,154.7,22
St. Vincent & ...,154.2,23
Aruba,153.35,24
Canada,152.46,25
China,149.34,26
Haiti,148.93,27
Barbados,146.9,28
Dominica,146.87,29
Fiji,146.29,30
DR Congo,145.85,31
Benin,145.57,32
S.T.&Principe,144.81,33
Australia,144.57,34
Argentina,142.74,35
Ivory Coast,140.94,36
Cameroon,139.99,37
Guyana,139.91,38
Switzerland,138.91,39
Cyprus,138.43,40
Niger,138.38,41
Chile,137.71,42
Mali,137.34,43
Costa Rica,134.49,44
Ethiopia,134.49,45
Guinea,133.28,46
Burkina Faso,132.78,47
Singapore,132.77,48
Greece,131.34,49
Panama,131.18,50
Taiwan,130.98,51
Burundi,129.85,52
Rwanda,129.7,53
Seychelles,129.12,54
UA Emirates,128.89,55
Senegal,128.49,56
Eq. Guinea,127.79,57
Luxembourg,127.61,58
Maldives,126.78,59
R. of Congo,126.63,60
G.-Bissau,122.16,61
Ireland,121.71,62
Brazil,121.49,63
Brunei,121.49,64
Chad,121.42,65
Gabon,121.26,66
Namibia,117.62,67
Domin. Rep.,117.01,68
Sweden,115.63,69
Peru,114.76,70
Togo,114.52,71
Denmark,114.51,72
Belize,114.47,73
Malta,113.54,74
Italy,113.15,75
Finland,112.18,76
Kuwait,111.68,77
Botswana,111.15,78
Ecuador,110.77,79
USA,109.91,80
Zimbabwe,109.44,81
Philippines,108.05,82
Gambia,108.03,83
Mozambique,107.89,84
Jordan,107.83,85
Portugal,107.55,86
Belgium,107.31,87
Qatar,107.29,88
Indonesia,106.59,89
Laos,106.33,90
Zambia,106.19,91
Austria,104.69,92
Georgia,104.68,93
Bahrain,104.67,94
South Africa,104.26,95
Turkey,104.21,96
Swaziland,104.11,97
Mauritania,103.7,98
Cambodia,102.91,99
Tanzania,101.97,100
Latvia,101.68,101
Mauritius,101.07,102
Thailand,100.38,103
El Salvador,100.25,104
Slovenia,100.05,105
Estonia,99.17,106
Kenya,98.7,107
Malawi,97.85,108
Netherlands,97.42,109
Saudi Arabia,97.34,110
France,97.3,111
Pakistan,97.13,112
Colombia,96.94,113
Vietnam,96.54,114
Slovakia,96.52,115
Suriname,95.64,116
Iraq,95.62,117
Lesotho,95.14,118
Croatia,94.89,119
Sierra Leone,94.58,120
Sri Lanka,94.28,121
Honduras,94.06,122
Oman,93.99,123
Bangladesh,93.78,124
Spain,93.74,125
Bulgaria,93.51,126
Mongolia,92.27,127
Malaysia,92.02,128
Armenia,90.58,129
Hungary,90.56,130
Germany,90.25,131
UK,90.21,132
Romania,89.28,133
Russia,89.16,134
Cape Verde,88.63,135
Madagascar,88.58,136
Albania,87.03,137
Nigeria,86.59,138
Lithuania,86.58,139
Uganda,86.43,140
Burma,86.1,141
Czechia,85.81,142
Paraguay,85.73,143
Morocco,84.77,144
Serbia,84.31,145
Montenegro,83.13,146
Bhutan,82.44,147
Tajikistan,82.02,148
Nicaragua,81.71,149
Bosnia & Herz.,80.38,150
Mexico,79.38,151
Iran,79.23,152
Kazakhstan,76.71,153
Sudan,76.54,154
Moldova,75.84,155
Nepal,75.83,156
Kyrgyzstan,75.58,157
Algeria,73.09,158
Bolivia,70.83,159
Azerbaijan,70.22,160
North Macedonia,69.97,161
India,68.69,162
Poland,67.68,163
Belarus,65.82,164
Ukraine,62.54,165
Egypt,60.89,166
Tunisia,55.91,167
